"year","corridor_length_year.x","metro_length_year.x","corridor_length_year.y","metro_length_year.y"
1863,0,402,NA,NA
1864,0,0,NA,NA
1865,0,0,NA,NA
1866,0,0,NA,NA
1867,0,0,NA,NA
1868,0,0,NA,NA
1869,0,0,NA,NA
1870,0,0,NA,NA
1871,0,0,NA,NA
1872,0,0,NA,NA
1873,0,0,NA,NA
1874,0,0,NA,NA
1875,0,0,NA,NA
1876,0,0,NA,NA
1877,0,0,NA,NA
1878,0,0,NA,NA
1879,0,0,NA,NA
1880,0,0,NA,NA
1881,0,0,NA,NA
1882,0,0,NA,NA
1883,0,0,NA,NA
1884,0,0,NA,NA
1885,0,0,NA,NA
1886,0,0,NA,NA
1887,0,0,NA,NA
1888,0,0,NA,NA
1889,0,0,NA,NA
1890,0,0,NA,NA
1891,0,0,NA,NA
1892,0,166,NA,NA
1893,0,0,NA,NA
1894,0,0,NA,NA
1895,0,0,NA,NA
1896,0,43.4,NA,NA
1897,0,60.5,NA,NA
1898,0,0,NA,NA
1899,0,0,NA,NA
1900,0,219.9,NA,NA
1901,0,13.3,NA,NA
1902,0,147.4,NA,NA
1903,0,0,NA,NA
1904,0,370.4,NA,NA
1905,0,0,NA,NA
1906,0,0,NA,NA
1907,0,62,NA,NA
1908,0,0,NA,NA
1909,0,0,NA,NA
1910,0,0,NA,NA
1911,0,0,NA,NA
1912,0,104.7,NA,NA
1913,0,53.9,NA,NA
1914,0,0,NA,NA
1915,0,0,NA,NA
1916,0,0,NA,NA
1917,0,0,NA,NA
1918,0,0,NA,NA
1919,0,293,NA,NA
1920,0,0,NA,NA
1921,0,0,NA,NA
1922,0,0,NA,NA
1923,0,0,NA,NA
1924,0,139.4,NA,NA
1925,0,0,NA,NA
1926,0,22.1,NA,NA
1927,0,304.5,NA,NA
1928,0,0,NA,NA
1929,0,0,NA,NA
1930,0,0,NA,NA
1931,0,0,NA,NA
1932,0,0,NA,NA
1933,0,137.8,NA,NA
1934,0,0,NA,NA
1935,0,335.8,NA,NA
1936,0,0,NA,NA
1937,0,0,NA,NA
1938,0,0,NA,NA
1939,0,0,NA,NA
1940,0,0,NA,NA
1941,0,0,NA,NA
1942,0,0,NA,NA
1943,0,0,NA,NA
1944,0,0,NA,NA
1945,0,0,NA,NA
1946,0,0,NA,NA
1947,0,0,NA,NA
1948,0,0,NA,NA
1949,0,0,NA,NA
1950,0,105.7,NA,NA
1951,0,0,NA,NA
1952,0,0,NA,NA
1953,0,0,NA,NA
1954,0,131.6,NA,NA
1955,0,205.5,NA,NA
1956,0,0,NA,NA
1957,0,93.1,NA,NA
1958,0,0,NA,NA
1959,0,46.1,NA,NA
1960,0,67.6,NA,NA
1961,0,0,NA,NA
1962,0,0,NA,NA
1963,0,0,NA,NA
1964,0,96.9,NA,NA
1965,0,0,NA,NA
1966,0,181.5,NA,NA
1967,0,54.8,NA,NA
1968,0,114.9,NA,NA
1969,0,738,0,554
1970,0,6.6,0,0
1971,19.3,147.4,0,0
1972,26,260.5,0,0
1973,0,22.5,0,0
1974,27.4,470,0,0
1975,25.1,175,0,0
1976,13.5,269.1,0,0
1977,25.8,121.3,0,0
1978,0,131.2,0,0
1979,0,399,0,0
1980,70.2,76.5,0,0
1981,8.3,82.8,0,0
1982,30.4,21,0,0
1983,50.4,136.5,0,0
1984,0,170.5,0,0
1985,0,247.8,0,0
1986,16.75,132,0,0
1987,16,290.4,0,0
1988,46,47.3,0,0
1989,0.72,30.9,0,0
1990,22.15,7.1,0,0
1991,15.6,57.9,0,0
1992,0,14.3,0,0
1993,20,195,0,0
1994,10.25,20.6,0,0
1995,39,696,0,588
1996,82.2,250.4,0,0
1997,47.5,124.3,0,0
1998,100,52.2,0,0
1999,47.4,383.2,46.7,263.5
2000,68.4,260.7,0,0
2001,96,42,0,0
2002,101.8,315.1,0,17
2003,223.93,153.8,0,141
2004,223.21,497.4,11.5,443.2
2005,279.94,421.3,0,345.3
2006,212,43.7,27.1,0
2007,239.4,8.3,0,0
2008,512.29,48,162.5,0
2009,481.6,154.7,104.3,0
2010,337.95,155.8,98,137.7
2011,393.46,123.6,0,51.9
2012,469.15,213.2,94.9,165.7
2013,538.24,42.9,37.9,42.9
2014,230.02,180,7.8,131.9
2015,66.1,68.5,13,40.7
