"year","corridor_length_year","metro_length_year"
1969,0,554
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,588
1996,0,0
1997,0,0
1998,0,0
1999,46.7,263.5
2000,0,0
2001,0,0
2002,0,17
2003,0,141
2004,11.5,443.2
2005,0,345.3
2006,27.1,0
2007,0,0
2008,162.5,0
2009,104.3,0
2010,98,137.7
2011,0,51.9
2012,94.9,165.7
2013,37.9,42.9
2014,7.8,131.9
2015,13,40.7
