"COUNTRY","CORRIDOR_LENGTH","A","B","C","D","E","F","G","SCORE","TOTAL_SCORE"
"Argentina",16,71.7,71.7,53.6,85,40,50,-1.4,66,65.5
"Australia",16.5,69.7,87.5,92.9,60,100,85.7,-8.3,80,77
"Brazil",306.3,95,95.2,73.8,86.7,77.8,53.2,-5.7,84.6,82.1
"Canada",30,60.6,70.8,78.6,70,80,35.7,0,64,64
"Chile",25.2,56.6,73.7,50,70,40,35.7,0,56.5,56.5
"China",515.2,79.7,67.1,40.1,81.3,87,31.4,-6.8,65.6,62.6
"Colombia",151.95,98.6,92.4,72.8,99.1,96.4,51.3,-7.6,86.8,84.1
"Ecuador",95.8,89.5,79.9,48.6,80,64,45.7,-15.3,73.4,67.4
"France",36.2,85.2,69,30.9,76.7,86.7,73.8,-0.9,71.3,71
"Guatemala",24.7,93.4,73.7,64.2,75,80,64.3,0,79,79
"India",53.6,85.3,61.2,47.1,78,84,31.5,-20.9,66.8,58.6
"Indonesia",51.6,94.2,79,35.7,75,80,39.3,-17.2,72.5,66
"Mexico",198.1,93.2,72.6,67.1,85,82,45.7,-4.7,77.4,75.5
"Peru",16.8,97,95.8,100,100,80,42.9,-2.8,89,88
"South Africa",59.2,87.1,63.5,66.6,86.7,83.3,45.3,-15.2,72.7,66.3
"South Korea",68.7,56.4,80.4,57.1,40,40,47,-13.3,57.3,51.3
"Thailand",11.5,84.2,36.8,35.7,30,100,50,0,59,59
"Turkey",52,97.4,89.5,71.4,50,90,32.1,-17.8,78,70
"United Kingdom",26,66.7,79.2,35.7,30,100,85.7,0,66,66
"United States",95.8,68.9,55.4,59.5,61.7,55.6,46.8,-3.8,59.9,58.4
"Venezuela",5.2,97.4,47.4,64.3,90,80,50,-6.7,75,72
