"country","obs","nas","no_nas","availability","timeliness","homogeneity"
"Argentina",407,105,302,74.2,2.2,4.4
"Australia",259,39,220,84.9,3.5,8.2
"Belgium",111,41,70,63.1,6.3,4
"Brazil",4514,966,3548,78.6,2.7,16.8
"Canada",481,226,255,53,2.1,6.5
"Chile",518,137,381,73.6,4.2,3.6
"China",1369,779,590,43.1,2.8,18.4
"Colombia",962,211,751,78.1,2.5,7
"Czech Republic",37,21,16,43.2,5,3.3
"Ecuador",296,36,260,87.8,3.5,7.2
"El Salvador",37,15,22,59.5,1,5.3
"Finland",37,18,19,51.4,4.6,3.1
"France",999,457,542,54.3,3.7,8.7
"Germany",111,31,80,72.1,4.9,8.1
"Guatemala",74,10,64,86.5,3,10.4
"India",333,159,174,52.3,2.6,5.9
"Indonesia",444,191,253,57,4,4.2
"Iran",370,167,203,54.9,2.1,3.6
"Ireland",37,30,7,18.9,6.3,2.5
"Israel",111,30,81,73,2.5,4
"Italy",185,88,97,52.4,2.4,5.1
"Japan",74,45,29,39.2,6.2,3.7
"Malaysia",37,7,30,81.1,1,3.5
"Mexico",629,145,484,76.9,2,6
"Netherlands",222,123,99,44.6,5.4,9
"New Zealand",37,8,29,78.4,2.9,3.2
"Nigeria",37,25,12,32.4,2.4,2.7
"Pakistan",74,17,57,77,1.4,4.7
"Panama",37,13,24,64.9,1,7.3
"Peru",37,5,32,86.5,4.7,6
"Portugal",37,23,14,37.8,5,2.8
"Republic of Korea",37,27,10,27,5.3,2.9
"South Africa",111,40,71,64,2.9,3.9
"Spain",148,47,101,68.2,3.8,6.1
"Sweden",185,118,67,36.2,4.7,6.4
"Switzerland",37,7,30,81.1,4.9,4.9
"Taiwan",111,50,61,55,3.5,5.4
"Thailand",37,25,12,32.4,4.4,3.5
"Trinidad and Tobago",37,17,20,54.1,4.5,3.8
"Turkey",37,4,33,89.2,2.5,3.9
"United Kingdom",481,307,174,36.2,4.7,7.6
"United States",1332,474,858,64.4,3.4,7.7
"Uruguay",37,8,29,78.4,3,6.1
"Venezuela",148,29,119,80.4,2.5,6
